feature combination,CCC,RMSE,R2
tier1,0.6346979272153425,0.651365142943898,0.4885952403621323
tier2,0.6226490550802547,0.6595288468313372,0.4756958093708785
tier3,0.6370939611351487,0.6521019487210625,0.4874376128729282
tier4,0.6821206770894072,0.613227719482354,0.5467275814166481
tier1+tier2,0.6473789935522435,0.6424408725919022,0.5025126247376681
tier1+tier3,0.6477993974462831,0.6423141032929938,0.5027089382233864
tier1+tier4,0.6613478811938718,0.6301428239549354,0.5213768206831066
tier2+tier3,0.647703517146083,0.643303899144854,0.5011751220527599
tier2+tier4,0.6442849172327185,0.6426553954861367,0.5021803287881499
tier3+tier4,0.6593614804067264,0.6336810965654333,0.5159867606885575
tier1+tier2+tier3,0.6523503175574951,0.63934745915291,0.5072919877617578
tier1+tier2+tier4,0.6638907535062362,0.6289711851862818,0.5231549957944677
tier1+tier3+tier4,0.663123015157601,0.6300491746653643,0.5215190722118881
tier2+tier3+tier4,0.6624251803072152,0.6310888407321522,0.5199386532776487
tier1+tier2+tier3+tier4,0.6649686800092138,0.6289162328787844,0.523238314678466
